epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1
1,0.042302255608835285,0.00984781827520221,0.9958855799373041,0.9268232439272056,0.9488111550464637,0.9131222966973712
2,0.011381700810011249,0.007475160108743877,0.9956896551724138,0.8845355871716685,0.8581380441366628,0.8678043271729807
3,0.009617426545332144,0.007419197653344499,0.9964733542319749,0.9138338368000545,0.9601320030349162,0.9285419310826482
4,0.008525213317046582,0.008437927809559022,0.9957549634273772,0.8861417016555135,0.8710271915085462,0.8719656237677007
5,0.008219146203479988,0.007341730926361109,0.9962121212121212,0.8933434053780848,0.9447689840990809,0.9112553314385179
6,0.007361855006045822,0.006197842038314344,0.9961468129571578,0.9155352933518441,0.953046597863358,0.926221977336181
7,0.007016625160820388,0.006191840865336603,0.9964733542319749,0.8930444965316288,0.9255819267042937,0.9059178620883472
8,0.0072669650530116205,0.007235445705161498,0.9962774294670846,0.9177552208626942,0.9642085236870215,0.9334006623372876
9,0.006887930593714656,0.0074114424005622456,0.9962121212121212,0.8953108375582184,0.9057160501490988,0.8994493703926852
10,0.006890479963885918,0.006574916885678593,0.9956896551724138,0.8923398071481181,0.9170052438155103,0.8991184173612116
